destination,formatted_address,country,latitude,longitude,google_geocode_place_id,forecast_start_date,forecast_end_date,forecast_days,avg_temp_c,min_daily_temp_c,peak_max_temp_c,avg_humidity_pct,avg_cloudiness_pct,avg_wind_speed_mps,max_wind_speed_mps,dominant_weather_description,bars_count,hotels_count,nightclubs_count,restaurants_count,attractions_count,selected_flight_price,selected_flight_currency,selected_airline,selected_flight_stops,selected_flight_duration_minutes,selected_flight_data_status,selected_accommodation_type,selected_accommodation_name,selected_accommodation_nightly_price,selected_accommodation_total_price,selected_accommodation_rating,selected_accommodation_reviews,selected_accommodation_link,selected_accommodation_data_status,estimated_accommodation_cost,estimated_trip_cost,cost_data_status,weather_score,nightlife_score,amenity_score,cost_score,score_without_cost,cost_score_for_model,final_recommendation_score
"Tulum, Mexico","Tulum, Quintana Roo, Mexico",Mexico,20.2114185,-87.46535019999999,ChIJSyrkEAPUT48Rt5r_k9vA7Q4,2026-06-24,2026-06-29,6,28.1,24.7,32.5,75.7,29.8,2.8,4.2,clear sky,10,10,10,10,10,747.0,GBP,Air Transat,1,1650,flight available,rental,Private Studio wTerrace Direct Pool Access A104 - One-Bedroom Apartment,26.0,180.0,4.565517,58.0,https://www.booking.com/hotel/mx/new-amp-cozy-condo-in-aldea-zama-tulum-with-gym-and-infinite-pool.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-13887962&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-13887962_grp-2_gendate-20260615,accommodation available,180.0,927.0,flight and accommodation available,100,100,100,100.0,100.0,100.0,100.0
"Phuket, Thailand","Phuket, Thailand",Thailand,7.9843109,98.3307468,ChIJT1JixOIxUDARIbo9BoWayuk,2026-06-24,2026-06-29,6,27.9,25.9,31.5,82.6,90.0,4.8,8.8,moderate rain,10,10,10,10,10,792.0,GBP,Oman Air,1,1055,flight available,hotel,Chivatara Resort Bangtao Beach Phuket,25.0,178.0,4.4,546.0,http://www.chivatararesort.com/,accommodation available,178.0,970.0,flight and accommodation available,95,100,100,90.4,98.0,90.4,96.1
"Bali, Indonesia","Bali, Indonesia",Indonesia,-8.4095178,115.188916,ChIJoQ8Q6NNB0S0RkOYkS7EPkSQ,2026-06-24,2026-06-29,6,21.9,17.0,28.0,85.9,74.7,1.5,3.0,light rain,10,10,8,10,10,853.0,GBP,Qatar Airways,1,1840,flight available,rental,1 BR Suite near Jatiluwih Rice Terrace,25.0,175.0,3.95,7.0,http://www.grandlawalonhotel.com/,accommodation available,175.0,1028.0,flight and accommodation available,65,100,100,77.5,86.0,77.5,83.9
"Cartagena, Colombia","Cartagena, Bolivar, Colombia",Colombia,10.3932277,-75.4832311,ChIJUROdrucl9o4RyiY_Ay45YbE,2026-06-24,2026-06-29,6,28.1,25.4,32.1,78.0,59.7,4.1,8.4,light rain,10,10,10,10,10,1192.0,GBP,KLM,2,1690,flight available,rental,King's Apartments 402,26.0,183.0,4.2,19.0,https://www.booking.com/hotel/co/kings-apartments-402.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15651774&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15651774_grp-2_gendate-20260615,accommodation available,183.0,1375.0,flight and accommodation available,100,100,100,0.0,100.0,0.0,75.0
"Zanzibar, Tanzania","Unguja, Tanzania",Tanzania,-6.135729500000001,39.3621196,ChIJ5QkpKmApXRgRX32brUqvNaA,2026-06-24,2026-06-29,6,24.7,22.3,27.9,75.3,27.4,4.7,6.4,clear sky,2,10,0,10,4,1010.0,GBP,Kenya Airways,1,820,flight available,rental,Kassandra Beach And Restaurant Double Room,25.0,176.0,4.35,3.0,https://www.vrbo.com/pdp/lo/114969121?MDPCID=VRBO-META.HPA.WEB-ORGANIC.VR,accommodation available,176.0,1186.0,flight and accommodation available,100,16,100,42.2,70.6,42.2,64.6
